time	V(n002)
0.000000000000000e+000	9.212473e-001
9.999999837751590e-018	9.212473e-001
1.999999967550318e-017	9.212473e-001
4.682857066878532e-014	9.212723e-001
9.363714133789514e-014	9.212973e-001
1.404457120070050e-013	9.213223e-001
1.872542826761148e-013	9.213472e-001
2.340628533452246e-013	9.213721e-001
2.808714240143344e-013	9.213971e-001
3.276799946834441e-013	9.214219e-001
6.553599893668882e-013	9.215953e-001
1.310719978733776e-012	9.219363e-001
2.310719978733776e-012	9.224347e-001
3.310719978733776e-012	9.228738e-001
4.310719978733776e-012	9.231913e-001
5.310719978733776e-012	9.233307e-001
6.310719978733775e-012	9.232646e-001
7.310719978733775e-012	9.229922e-001
8.310719978733775e-012	9.225392e-001
9.000000000000000e-012	9.221112e-001
9.999999999999999e-012	9.213718e-001
1.010000000000000e-011	9.212556e-001
1.030000000000000e-011	9.210232e-001
1.070000000000000e-011	9.205585e-001
1.150000000000000e-011	9.196291e-001
1.250000000000000e-011	9.184678e-001
1.350000000000000e-011	9.173067e-001
1.450000000000000e-011	9.161459e-001
1.550000000000000e-011	9.149855e-001
1.650000000000000e-011	9.138255e-001
1.750000000000000e-011	9.126658e-001
1.850000000000000e-011	9.115064e-001
1.950000000000000e-011	9.103473e-001
2.050000000000000e-011	9.091886e-001
2.150000000000000e-011	9.080303e-001
2.250000000000000e-011	9.068722e-001
2.350000000000000e-011	9.057145e-001
2.450000000000000e-011	9.045571e-001
2.550000000000000e-011	9.034001e-001
2.650000000000000e-011	9.022434e-001
2.750000000000000e-011	9.010870e-001
2.850000000000000e-011	8.999310e-001
2.950000000000000e-011	8.987753e-001
3.050000000000000e-011	8.976200e-001
3.250000000000000e-011	8.953103e-001
3.550000000000001e-011	8.918482e-001
3.821428571428574e-011	8.887185e-001
4.092857142857146e-011	8.855913e-001
4.364285714285719e-011	8.824665e-001
4.635714285714290e-011	8.793442e-001
4.907142857142864e-011	8.762244e-001
5.178571428571435e-011	8.731070e-001
5.450000000000007e-011	8.699921e-001
1.060714285714285e-010	8.111710e-001
1.576428571428569e-010	7.533300e-001
2.092142857142853e-010	6.964692e-001
2.607857142857138e-010	6.405885e-001
3.123571428571421e-010	5.856880e-001
3.639285714285706e-010	5.317677e-001
4.154999999999989e-010	4.788275e-001
4.509285714285702e-010	4.429674e-001
4.863571428571415e-010	4.084452e-001
5.217857142857129e-010	3.752610e-001
5.572142857142842e-010	3.434147e-001
5.926428571428556e-010	3.129064e-001
6.280714285714269e-010	2.837360e-001
6.634999999999981e-010	2.559035e-001
6.947857142857123e-010	2.332463e-001
7.260714285714264e-010	2.119869e-001
7.573571428571406e-010	1.921255e-001
7.886428571428549e-010	1.736618e-001
8.199285714285690e-010	1.565960e-001
8.512142857142832e-010	1.409281e-001
8.824999999999973e-010	1.266581e-001
8.996428571428554e-010	1.193545e-001
9.167857142857137e-010	1.123845e-001
9.339285714285719e-010	1.057478e-001
9.510714285714300e-010	9.944462e-002
9.682142857142881e-010	9.347483e-002
9.853571428571462e-010	8.783848e-002
1.002500000000004e-009	8.253556e-002
1.003500000000004e-009	8.223359e-002
1.030928571428579e-009	7.444421e-002
1.058357142857153e-009	6.723070e-002
1.085785714285727e-009	6.059305e-002
1.113214285714301e-009	5.453128e-002
1.140642857142875e-009	4.904536e-002
1.168071428571450e-009	4.413532e-002
1.195500000000024e-009	3.980114e-002
1.221071428571455e-009	3.610364e-002
1.246642857142886e-009	3.268156e-002
1.272214285714317e-009	2.953492e-002
1.297785714285748e-009	2.666370e-002
1.323357142857179e-009	2.406791e-002
1.348928571428611e-009	2.174754e-002
1.374500000000042e-009	1.970260e-002
1.399500000000044e-009	1.787116e-002
1.424500000000047e-009	1.617775e-002
1.449500000000049e-009	1.462237e-002
1.474500000000052e-009	1.320504e-002
1.499500000000054e-009	1.192574e-002
1.524500000000057e-009	1.078447e-002
1.549500000000059e-009	9.781243e-003
1.574071428571490e-009	8.876982e-003
1.598642857142921e-009	8.040946e-003
1.623214285714352e-009	7.273134e-003
1.647785714285783e-009	6.573546e-003
1.672357142857214e-009	5.942184e-003
1.696928571428645e-009	5.379045e-003
1.721500000000076e-009	4.884131e-003
1.746642857142935e-009	4.420736e-003
1.771785714285793e-009	3.993169e-003
1.796928571428652e-009	3.601429e-003
1.822071428571511e-009	3.245517e-003
1.847214285714369e-009	2.925434e-003
1.872357142857228e-009	2.641178e-003
1.897500000000087e-009	2.392750e-003
1.915928571428656e-009	2.222303e-003
1.934357142857225e-009	2.062223e-003
1.952785714285795e-009	1.912511e-003
1.971214285714365e-009	1.773166e-003
1.989642857142934e-009	1.644188e-003
2.008071428571503e-009	1.525579e-003
2.026500000000073e-009	1.417336e-003
2.027500000000073e-009	1.411594e-003
2.056928571428641e-009	1.256872e-003
2.086357142857209e-009	1.115651e-003
2.115785714285777e-009	9.879303e-004
2.145214285714346e-009	8.737100e-004
2.174642857142914e-009	7.729903e-004
2.204071428571482e-009	6.857712e-004
2.233500000000051e-009	6.120526e-004
2.269642857142904e-009	5.318643e-004
2.305785714285757e-009	4.597581e-004
2.341928571428610e-009	3.957342e-004
2.378071428571464e-009	3.397924e-004
2.414214285714317e-009	2.919327e-004
2.450357142857171e-009	2.521553e-004
2.486500000000024e-009	2.204600e-004
2.537500000000018e-009	1.823871e-004
2.588500000000013e-009	1.490787e-004
2.639500000000007e-009	1.205351e-004
2.690500000000002e-009	9.675599e-005
2.741499999999996e-009	7.774154e-005
2.792499999999991e-009	6.349173e-005
2.843499999999986e-009	5.400653e-005
2.873071428571411e-009	4.840788e-005
2.902642857142836e-009	4.330030e-005
2.932214285714262e-009	3.868379e-005
2.961785714285687e-009	3.455836e-005
2.991357142857112e-009	3.092400e-005
3.020928571428538e-009	2.778071e-005
3.050499999999963e-009	2.512850e-005
3.051499999999963e-009	2.503985e-005
3.197357142857111e-009	1.773766e-005
3.343214285714259e-009	1.185221e-005
3.489071428571407e-009	7.383502e-006
3.634928571428555e-009	4.331529e-006
3.780785714285702e-009	2.696294e-006
3.926642857142851e-009	2.477796e-006
4.072499999999998e-009	3.676037e-006
4.075499999999999e-009	3.671929e-006
5.099500000000313e-009	3.343223e-006
6.123500000000627e-009	3.338166e-006
7.147500000000941e-009	3.338089e-006
8.171500000000660e-009	3.338087e-006
8.999000000000000e-009	3.338087e-006
9.000000000000000e-009	3.338087e-006
9.000099999999954e-009	1.356127e-005
9.000299999999862e-009	3.403895e-005
9.000699999999678e-009	7.515783e-005
9.001499999999311e-009	1.593019e-004
9.002499999999311e-009	2.766346e-004
9.003499999999310e-009	4.182213e-004
9.004499999999310e-009	5.802326e-004
9.005499999999309e-009	7.492305e-004
9.006499999999309e-009	9.199234e-004
9.007499999999308e-009	1.094388e-003
9.008499999999308e-009	1.275471e-003
9.009000000000000e-009	1.372519e-003
9.009999999999999e-009	1.578697e-003
9.010100000000000e-009	1.547932e-003
9.010299999999999e-009	1.487213e-003
9.010699999999999e-009	1.369492e-003
9.011499999999999e-009	1.144202e-003
9.012499999999999e-009	8.747500e-004
9.013499999999998e-009	6.144315e-004
9.014499999999998e-009	3.596928e-004
9.015499999999997e-009	1.087544e-004
9.016499999999997e-009	-1.337462e-004
9.017499999999996e-009	-3.553881e-004
9.018499999999996e-009	-5.534357e-004
9.019000000000000e-009	-6.468262e-004
9.019999999999999e-009	-8.318292e-004
9.020100000000000e-009	-8.199796e-004
9.020299999999999e-009	-7.968848e-004
9.020699999999999e-009	-7.534366e-004
9.021499999999999e-009	-6.745969e-004
9.022499999999999e-009	-5.877097e-004
9.023499999999998e-009	-5.125313e-004
9.024499999999998e-009	-4.474773e-004
9.025499999999997e-009	-3.906688e-004
9.026499999999997e-009	-3.406445e-004
9.027499999999996e-009	-2.962560e-004
9.028499999999995e-009	-2.565921e-004
9.029499999999995e-009	-2.209236e-004
9.030499999999994e-009	-1.886614e-004
9.031499999999994e-009	-1.593261e-004
9.032499999999993e-009	-1.325238e-004
9.033499999999993e-009	-1.079284e-004
9.034499999999992e-009	-8.526828e-005
9.035499999999992e-009	-6.431503e-005
9.036499999999991e-009	-4.487561e-005
9.037499999999991e-009	-2.678571e-005
9.038499999999990e-009	-9.905869e-006
9.039499999999990e-009	5.882004e-006
9.041499999999989e-009	3.459063e-005
9.043499999999988e-009	6.004519e-005
9.045499999999987e-009	8.277873e-005
9.047499999999986e-009	1.032079e-004
9.050499999999984e-009	1.302392e-004
9.053499999999982e-009	1.536840e-004
9.056499999999981e-009	1.741876e-004
