Vivado Simulator 2019.1
Time resolution is 1 ps
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 0, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 0, Ci = 0, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 1, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 1, Ci = 0, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 0, Ci = 1, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 0, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 1, Ci = 1, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 1, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 0, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 0, Ci = 0, Di = 1, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 1, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 1, Ci = 0, Di = 1, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 0, Ci = 1, Di = 1, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 0, Ci = 1, Di = 1, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 0, Ai = 0, Bi = 1, Ci = 1, Di = 1, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 0, Ai = 1, Bi = 1, Ci = 1, Di = 1, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 0, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 0, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 1, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 1, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 0, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 0, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 1, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 1, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 0, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 0, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 1, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 1, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 0, Ci = 1, Di = 1, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 0, Ci = 1, Di = 1, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 0, Bi = 1, Ci = 1, Di = 1, Y_out = 1
The demux output is correct!!! S1i=1, S2i = 0, Ai = 1, Bi = 1, Ci = 1, Di = 1, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 1, Ai = 0, Bi = 0, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 1, Ai = 1, Bi = 0, Ci = 0, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 1, Ai = 0, Bi = 1, Ci = 0, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 1, Ai = 1, Bi = 1, Ci = 0, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 1, Ai = 0, Bi = 0, Ci = 1, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 1, Ai = 1, Bi = 0, Ci = 1, Di = 0, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 1, Ai = 0, Bi = 1, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 1, Ai = 1, Bi = 1, Ci = 1, Di = 0, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 1, Ai = 0, Bi = 0, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 1, Ai = 1, Bi = 0, Ci = 0, Di = 1, Y_out = 0
The demux output is correct!!! S1i=0, S2i = 1, Ai = 0, Bi = 1, Ci = 0, Di = 1, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 1, Ai = 1, Bi = 1, Ci = 0, Di = 1, Y_out = 1
The demux output is correct!!! S1i=0, S2i = 1, Ai = 0, Bi = 0, Ci = 1, Di = 1, Y_out = 0
The demux output is correct!!! S1i=0, S2i =
